"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2026-02-25,1,2026-02-22,0.2,23,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.25,24,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.3,25,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.35,26,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.4,26,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.45,26,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.5,27,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.55,28,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.6,29,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.65,29,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.7,30,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.75,31.25,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.8,32,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.85,33,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.9,34,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.95,36.05,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.975,39.1,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.99,41.03,"quantile","ILI incidence","HR"
2026-02-25,1,2026-02-22,0.01,37,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.025,37.475,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.05,41.9,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.1,48,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.15,48.85,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.2,49,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.25,50,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.3,52,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.35,53.65,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.4,55,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.45,56,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.5,57,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.55,58,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.6,59,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.65,60,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.7,60,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.75,61,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.8,63.2,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.85,64,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.9,65,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.95,69.05,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.975,70.525,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.99,75.01,"quantile","ILI incidence","CZ"
2026-02-25,1,2026-02-22,0.01,146,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.025,147,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.05,149.9,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.1,152,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.15,156,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.2,158.8,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.25,161,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.3,162.7,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.35,163.65,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.4,166,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.45,168,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.5,168,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.55,170,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.6,171.4,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.65,172,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.7,174,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.75,176,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.8,182,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.85,185.15,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.9,188.1,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.95,193,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.975,195.05,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.99,197.04,"quantile","ILI incidence","DK"
2026-02-25,1,2026-02-22,0.01,334.88,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.025,337.95,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.05,339.95,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.1,351.6,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.15,358.7,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.2,359.8,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.25,361,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.3,363.7,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.35,366,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.4,369,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.45,371.55,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.5,373.5,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.55,375,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.6,376.4,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.65,377.35,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.7,379.3,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.75,381.25,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.8,384.4,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.85,392,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.9,395,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.95,405.15,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.975,410.525,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.99,412.03,"quantile","ILI incidence","EE"
2026-02-25,1,2026-02-22,0.01,235.93,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.025,243,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.05,247.85,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.1,252.9,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.15,256.85,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.2,258.8,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.25,262,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.3,263.7,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.35,267,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.4,269,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.45,271,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.5,272,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.55,273,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.6,277,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.65,280,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.7,281.3,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.75,285.25,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.8,292,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.85,294.15,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.9,298.2,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.95,307.05,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.975,311.625,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.99,314.01,"quantile","ILI incidence","FR"
2026-02-25,1,2026-02-22,0.01,943.96,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.025,956.325,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.05,964.85,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.1,972.8,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.15,983.7,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.2,990,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.25,994.75,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.3,1001.7,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.35,1009,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.4,1011.6,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.45,1013,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.5,1014.5,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.55,1019,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.6,1026,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.65,1027.7,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.7,1033.3,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.75,1038.5,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.8,1045.4,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.85,1052,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.9,1060.1,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.95,1065.75,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.975,1083,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.99,1084.1,"quantile","ILI incidence","GR"
2026-02-25,1,2026-02-22,0.01,860.89,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.025,865.475,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.05,866,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.1,872,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.15,880.55,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.2,887.4,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.25,889,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.3,892.7,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.35,896,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.4,905,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.45,908,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.5,909.5,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.55,911.45,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.6,914,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.65,917,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.7,919,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.75,925.5,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.8,929.4,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.85,937.15,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.9,948.4,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.95,957.15,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.975,965.1,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.99,980.16,"quantile","ILI incidence","HU"
2026-02-25,1,2026-02-22,0.01,25,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.025,27.475,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.05,28,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.1,31,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.15,33,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.2,35,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.25,35.75,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.3,37,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.35,37,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.4,37.6,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.45,38,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.5,39,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.55,39.45,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.6,41,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.65,41,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.7,42,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.75,44,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.8,44,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.85,46.15,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.9,47.1,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.95,50,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.975,51.525,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.99,54.01,"quantile","ILI incidence","IE"
2026-02-25,1,2026-02-22,0.01,426.89,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.025,428.425,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.05,431.95,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.1,438,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.15,439.85,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.2,442,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.25,444,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.3,449,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.35,452.3,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.4,456,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.45,458.55,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.5,460,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.55,464,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.6,467,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.65,468.35,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.7,474.3,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.75,479.25,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.8,482,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.85,486,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.9,496,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.95,501.05,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.975,507,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.99,508.26,"quantile","ILI incidence","IT"
2026-02-25,1,2026-02-22,0.01,574.97,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.025,579.375,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.05,593.75,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.1,609.7,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.15,613.7,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.2,616,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.25,619.75,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.3,623,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.35,625.65,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.4,627,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.45,630,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.5,633.5,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.55,637,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.6,641,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.65,643.35,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.7,645.9,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.75,650,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.8,651.4,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.85,658.15,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.9,663,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.95,674.05,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.975,678.1,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.99,683.16,"quantile","ILI incidence","LV"
2026-02-25,1,2026-02-22,0.01,290.95,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.025,296.9,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.05,304.85,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.1,306.9,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.15,314.7,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.2,316,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.25,317,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.3,319,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.35,322.65,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.4,324,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.45,330,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.5,332,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.55,334.45,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.6,335.4,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.65,340.7,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.7,343,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.75,348.25,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.8,351.2,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.85,356.15,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.9,359.1,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.95,363.1,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.975,370.575,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.99,372.01,"quantile","ILI incidence","LT"
2026-02-25,1,2026-02-22,0.01,7798.67,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.025,7807.325,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.05,7829.4,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.1,7850.8,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.15,7874.55,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.2,7883.4,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.25,7892.75,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.3,7914.6,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.35,7925,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.4,7934.2,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.45,7941.55,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.5,7951,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.55,7973,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.6,7986.2,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.65,7995.35,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.7,8002.9,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.75,8030.25,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.8,8046,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.85,8066.15,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.9,8088.1,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.95,8114.75,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.975,8162.6,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.99,8180.04,"quantile","ILI incidence","LU"
2026-02-25,1,2026-02-22,0.01,10175.09,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.025,10178.375,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.05,10192.95,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.1,10209.7,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.15,10228.1,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.2,10244.6,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.25,10256.75,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.3,10265.5,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.35,10282.95,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.4,10294.6,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.45,10305.65,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.5,10316.5,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.55,10329,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.6,10337.4,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.65,10345.5,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.7,10367.6,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.75,10383.5,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.8,10394.4,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.85,10414.05,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.9,10443.3,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.95,10457.6,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.975,10502.875,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.99,10519.13,"quantile","ILI incidence","MT"
2026-02-25,1,2026-02-22,0.01,29.99,"quantile","ILI incidence","NL"
2026-02-25,1,2026-02-22,0.025,32.95,"quantile","ILI incidence","NL"
2026-02-25,1,2026-02-22,0.05,35.95,"quantile","ILI incidence","NL"
2026-02-25,1,2026-02-22,0.1,38,"quantile","ILI incidence","NL"
2026-02-25,1,2026-02-22,0.15,40,"quantile","ILI incidence","NL"
2026-02-25,1,2026-02-22,0.2,40,"quantile","ILI incidence","NL"
2026-02-25,1,2026-02-22,0.25,42,"quantile","ILI incidence","NL"
